deviation_id,product_id,batch_id,plant_id,deviation_type,severity,root_cause_code,capa_status,reported_date,closed_date
DEV000001,PROD00394,BATCH001010,PLANT04,Labeling Error,Major,RC005,Open,2024-09-06,
DEV000002,PROD00415,BATCH001459,PLANT04,Equipment Malfunction,Minor,RC010,Open,2024-07-02,
DEV000003,PROD00603,BATCH001220,PLANT04,Contamination,Critical,RC014,Closed,2024-05-01,2024-06-07
DEV000004,PROD00854,BATCH001455,PLANT03,Out-of-Specification (OOS),Minor,RC005,Closed,2023-07-24,2023-07-29
DEV000005,PROD00520,BATCH000322,PLANT04,Documentation Error,Minor,RC016,Open,2025-04-17,
DEV000006,PROD00286,BATCH001185,PLANT05,Documentation Error,Minor,RC001,Closed,2023-06-01,2023-07-01
DEV000007,PROD00963,BATCH000938,PLANT02,Documentation Error,Minor,RC018,Closed,2024-12-07,2025-01-10
DEV000008,PROD00574,BATCH001469,PLANT03,Documentation Error,Minor,RC002,Under Review,2023-08-26,
DEV000009,PROD00243,BATCH000665,PLANT03,Process Deviation,Major,RC019,Closed,2023-08-12,2023-08-20
DEV000010,PROD00051,BATCH001177,PLANT01,Contamination,Minor,RC022,Closed,2023-09-17,2023-10-19
DEV000011,PROD00114,BATCH000190,PLANT05,Labeling Error,Critical,RC005,Closed,2023-06-03,2023-07-09
DEV000012,PROD00169,BATCH001470,PLANT01,Process Deviation,Major,RC021,Open,2023-05-12,
DEV000013,PROD00516,BATCH000546,PLANT01,Contamination,Minor,RC022,Closed,2024-07-21,2024-08-18
DEV000014,PROD00400,BATCH000614,PLANT01,Equipment Malfunction,Major,RC018,Closed,2024-08-04,2024-09-17
DEV000015,PROD00466,BATCH001086,PLANT05,Contamination,Major,RC013,Closed,2024-02-28,2024-03-02
DEV000016,PROD00501,BATCH001179,PLANT02,Equipment Malfunction,Major,RC006,Closed,2023-08-20,2023-09-25
DEV000017,PROD00817,BATCH000627,PLANT05,Labeling Error,Major,RC012,Closed,2023-10-03,2023-10-25
DEV000018,PROD00884,BATCH000041,PLANT02,Contamination,Minor,RC001,Closed,2025-03-14,2025-04-03
DEV000019,PROD00906,BATCH000011,PLANT04,Labeling Error,Minor,RC005,Closed,2025-05-29,2025-06-05
DEV000020,PROD00146,BATCH001491,PLANT01,Labeling Error,Major,RC015,Closed,2024-02-11,2024-02-20
DEV000021,PROD00858,BATCH001353,PLANT03,Equipment Malfunction,Minor,RC002,Closed,2023-04-24,2023-05-10
DEV000022,PROD00123,BATCH000634,PLANT04,Labeling Error,Minor,RC018,Closed,2023-02-07,2023-03-17
DEV000023,PROD00130,BATCH000788,PLANT03,Temperature Excursion,Minor,RC017,Under Review,2023-12-05,
DEV000024,PROD00801,BATCH000696,PLANT02,Out-of-Specification (OOS),Major,RC009,Closed,2025-05-08,2025-05-13
DEV000025,PROD00864,BATCH001115,PLANT04,Contamination,Critical,RC011,Closed,2024-05-04,2024-05-23
DEV000026,PROD00499,BATCH000523,PLANT02,Labeling Error,Major,RC013,Closed,2023-11-03,2023-12-05
DEV000027,PROD00138,BATCH000830,PLANT01,Equipment Malfunction,Major,RC017,Closed,2025-06-07,2025-06-23
DEV000028,PROD00546,BATCH000481,PLANT03,Labeling Error,Major,RC010,Closed,2024-04-19,2024-05-19
DEV000029,PROD00072,BATCH001188,PLANT04,Process Deviation,Major,RC016,Closed,2024-07-19,2024-08-31
DEV000030,PROD00143,BATCH000317,PLANT04,Labeling Error,Minor,RC016,Closed,2024-08-17,2024-09-03
DEV000031,PROD00587,BATCH001320,PLANT05,Labeling Error,Minor,RC017,Open,2024-10-24,
DEV000032,PROD00250,BATCH000593,PLANT03,Labeling Error,Major,RC023,Under Review,2025-01-07,
DEV000033,PROD00034,BATCH001148,PLANT04,Contamination,Major,RC017,Closed,2024-04-14,2024-04-25
DEV000034,PROD00945,BATCH001031,PLANT02,Equipment Malfunction,Minor,RC011,Closed,2023-04-09,2023-04-30
DEV000035,PROD00940,BATCH001013,PLANT02,Equipment Malfunction,Minor,RC024,Closed,2023-09-23,2023-11-05
DEV000036,PROD00808,BATCH001468,PLANT01,Temperature Excursion,Major,RC004,Closed,2023-12-24,2023-12-31
DEV000037,PROD00487,BATCH000038,PLANT03,Documentation Error,Minor,RC020,Closed,2024-07-17,2024-08-13
DEV000038,PROD00769,BATCH001319,PLANT03,Documentation Error,Minor,RC004,Closed,2024-10-25,2024-11-13
DEV000039,PROD00699,BATCH000977,PLANT04,Documentation Error,Minor,RC024,Under Review,2025-02-03,
DEV000040,PROD00852,BATCH000500,PLANT04,Contamination,Minor,RC005,Closed,2024-10-28,2024-12-09
DEV000041,PROD00467,BATCH000980,PLANT04,Contamination,Minor,RC023,Closed,2023-07-31,2023-08-03
DEV000042,PROD00853,BATCH000814,PLANT02,Out-of-Specification (OOS),Minor,RC015,Closed,2025-01-02,2025-01-05
DEV000043,PROD00283,BATCH001365,PLANT05,Documentation Error,Minor,RC020,Closed,2024-07-01,2024-07-28
DEV000044,PROD00982,BATCH001308,PLANT04,Out-of-Specification (OOS),Minor,RC021,Closed,2024-03-27,2024-04-19
DEV000045,PROD00297,BATCH001380,PLANT05,Labeling Error,Major,RC005,Closed,2024-10-21,2024-11-14
DEV000046,PROD00512,BATCH000978,PLANT03,Contamination,Minor,RC020,Closed,2023-12-19,2024-01-18
DEV000047,PROD00626,BATCH000857,PLANT05,Contamination,Minor,RC023,Closed,2025-01-15,2025-01-21
DEV000048,PROD00378,BATCH000522,PLANT01,Equipment Malfunction,Minor,RC001,Closed,2023-03-24,2023-04-13
DEV000049,PROD00581,BATCH001172,PLANT04,Equipment Malfunction,Minor,RC006,Closed,2023-03-03,2023-03-22
DEV000050,PROD00806,BATCH000963,PLANT05,Process Deviation,Minor,RC018,Closed,2024-03-31,2024-04-17
DEV000051,PROD00842,BATCH000422,PLANT04,Process Deviation,Minor,RC007,Closed,2025-08-03,2025-08-21
DEV000052,PROD00240,BATCH000928,PLANT02,Process Deviation,Minor,RC005,Closed,2023-08-29,2023-10-09
DEV000053,PROD00469,BATCH001088,PLANT04,Contamination,Major,RC024,Closed,2024-06-19,2024-07-08
DEV000054,PROD00054,BATCH000093,PLANT05,Contamination,Critical,RC002,Closed,2024-11-09,2024-12-08
DEV000055,PROD00062,BATCH000659,PLANT03,Contamination,Minor,RC018,Closed,2025-04-05,2025-05-01
DEV000056,PROD00853,BATCH000509,PLANT02,Documentation Error,Minor,RC003,Closed,2025-03-20,2025-04-11
DEV000057,PROD00345,BATCH000562,PLANT02,Documentation Error,Minor,RC016,Closed,2024-09-29,2024-11-08
DEV000058,PROD00607,BATCH000304,PLANT02,Labeling Error,Minor,RC002,Closed,2025-01-18,2025-01-21
DEV000059,PROD00712,BATCH000719,PLANT04,Contamination,Minor,RC010,Open,2023-07-05,
DEV000060,PROD00180,BATCH000229,PLANT03,Process Deviation,Major,RC003,Closed,2024-06-04,2024-06-09
DEV000061,PROD00945,BATCH001153,PLANT02,Process Deviation,Critical,RC003,Closed,2024-01-12,2024-01-17
DEV000062,PROD00096,BATCH000205,PLANT05,Equipment Malfunction,Minor,RC012,Open,2025-03-24,
DEV000063,PROD00410,BATCH001102,PLANT02,Temperature Excursion,Minor,RC010,Closed,2023-06-16,2023-07-09
DEV000064,PROD00319,BATCH000931,PLANT01,Equipment Malfunction,Minor,RC017,Open,2024-11-08,
DEV000065,PROD00222,BATCH000252,PLANT04,Documentation Error,Major,RC016,Under Review,2024-02-25,
DEV000066,PROD00620,BATCH000868,PLANT04,Labeling Error,Major,RC001,Under Review,2023-02-04,
DEV000067,PROD00601,BATCH000260,PLANT03,Temperature Excursion,Major,RC018,Closed,2025-02-24,2025-03-07
DEV000068,PROD00619,BATCH001103,PLANT04,Labeling Error,Critical,RC007,Closed,2024-07-06,2024-08-07
DEV000069,PROD00383,BATCH001171,PLANT02,Documentation Error,Minor,RC013,Closed,2023-07-05,2023-07-20
DEV000070,PROD00637,BATCH000915,PLANT01,Process Deviation,Major,RC002,Closed,2023-12-12,2024-01-09
DEV000071,PROD00891,BATCH000628,PLANT04,Process Deviation,Major,RC013,Open,2025-04-23,
DEV000072,PROD00333,BATCH000905,PLANT05,Out-of-Specification (OOS),Minor,RC007,Under Review,2024-04-26,
DEV000073,PROD00586,BATCH000892,PLANT04,Equipment Malfunction,Major,RC012,Under Review,2023-04-14,
DEV000074,PROD00809,BATCH001494,PLANT04,Contamination,Minor,RC005,Under Review,2023-11-24,
DEV000075,PROD00916,BATCH000886,PLANT02,Out-of-Specification (OOS),Minor,RC010,Under Review,2024-02-15,
DEV000076,PROD00762,BATCH000871,PLANT05,Contamination,Minor,RC014,Closed,2024-05-09,2024-06-23
DEV000077,PROD00530,BATCH001422,PLANT04,Equipment Malfunction,Major,RC007,Closed,2023-11-01,2023-11-26
DEV000078,PROD00921,BATCH000820,PLANT01,Labeling Error,Major,RC003,Closed,2024-04-23,2024-05-27
DEV000079,PROD00382,BATCH000118,PLANT05,Equipment Malfunction,Minor,RC012,Under Review,2023-09-25,
DEV000080,PROD00089,BATCH001418,PLANT03,Documentation Error,Major,RC018,Under Review,2024-11-06,
DEV000081,PROD00882,BATCH001251,PLANT03,Temperature Excursion,Major,RC018,Closed,2023-01-29,2023-02-22
DEV000082,PROD00123,BATCH000168,PLANT04,Process Deviation,Critical,RC006,Under Review,2025-04-18,
DEV000083,PROD00462,BATCH001205,PLANT02,Labeling Error,Minor,RC011,Closed,2025-01-30,2025-02-06
DEV000084,PROD00851,BATCH000247,PLANT02,Process Deviation,Major,RC006,Under Review,2023-12-09,
DEV000085,PROD00999,BATCH001232,PLANT01,Out-of-Specification (OOS),Minor,RC009,Open,2023-12-12,
DEV000086,PROD00033,BATCH000389,PLANT01,Labeling Error,Minor,RC005,Open,2023-05-25,
DEV000087,PROD00756,BATCH000748,PLANT03,Contamination,Major,RC010,Under Review,2025-02-11,
DEV000088,PROD00623,BATCH000336,PLANT02,Documentation Error,Major,RC005,Closed,2024-01-25,2024-02-11
DEV000089,PROD00049,BATCH000780,PLANT02,Labeling Error,Minor,RC014,Closed,2023-08-17,2023-09-11
DEV000090,PROD00372,BATCH000519,PLANT02,Labeling Error,Minor,RC016,Closed,2025-05-23,2025-06-13
DEV000091,PROD00655,BATCH000259,PLANT05,Labeling Error,Major,RC013,Open,2023-10-29,
DEV000092,PROD00140,BATCH000702,PLANT03,Contamination,Minor,RC024,Under Review,2023-05-24,
DEV000093,PROD00265,BATCH001182,PLANT04,Equipment Malfunction,Major,RC001,Closed,2024-04-04,2024-04-25
DEV000094,PROD00999,BATCH001348,PLANT01,Out-of-Specification (OOS),Minor,RC002,Closed,2024-08-22,2024-10-06
DEV000095,PROD00957,BATCH001329,PLANT05,Temperature Excursion,Minor,RC006,Closed,2023-08-01,2023-09-08
DEV000096,PROD00112,BATCH001252,PLANT04,Process Deviation,Minor,RC013,Closed,2023-05-08,2023-06-17
DEV000097,PROD00641,BATCH000432,PLANT03,Documentation Error,Minor,RC014,Closed,2023-11-06,2023-11-16
DEV000098,PROD00242,BATCH000232,PLANT01,Contamination,Critical,RC002,Closed,2023-06-10,2023-07-21
DEV000099,PROD00958,BATCH000919,PLANT02,Equipment Malfunction,Minor,RC021,Closed,2024-12-19,2025-01-28
DEV000100,PROD00942,BATCH001428,PLANT01,Process Deviation,Minor,RC025,Closed,2023-05-28,2023-07-06
DEV000101,PROD00707,BATCH001187,PLANT05,Temperature Excursion,Major,RC012,Closed,2023-05-18,2023-06-04
DEV000102,PROD00596,BATCH001017,PLANT04,Labeling Error,Minor,RC025,Closed,2023-04-25,2023-05-05
DEV000103,PROD00774,BATCH000032,PLANT02,Temperature Excursion,Minor,RC015,Closed,2023-11-10,2023-11-29
DEV000104,PROD00391,BATCH001448,PLANT05,Contamination,Major,RC007,Closed,2025-05-23,2025-05-27
DEV000105,PROD00486,BATCH000728,PLANT03,Documentation Error,Major,RC020,Under Review,2025-03-26,
DEV000106,PROD00417,BATCH000862,PLANT01,Contamination,Minor,RC021,Closed,2023-07-19,2023-08-11
DEV000107,PROD00503,BATCH000917,PLANT05,Process Deviation,Minor,RC016,Under Review,2024-07-06,
DEV000108,PROD00669,BATCH000653,PLANT04,Labeling Error,Major,RC005,Under Review,2023-12-01,
DEV000109,PROD00877,BATCH001178,PLANT03,Equipment Malfunction,Major,RC006,Closed,2025-04-14,2025-05-27
DEV000110,PROD00661,BATCH000240,PLANT02,Equipment Malfunction,Critical,RC017,Closed,2024-11-21,2024-12-03
DEV000111,PROD00010,BATCH000054,PLANT04,Out-of-Specification (OOS),Minor,RC018,Closed,2025-06-23,2025-07-12
DEV000112,PROD00743,BATCH001287,PLANT02,Labeling Error,Critical,RC002,Closed,2024-03-19,2024-04-20
DEV000113,PROD00643,BATCH000768,PLANT02,Out-of-Specification (OOS),Minor,RC001,Open,2023-06-06,
DEV000114,PROD00408,BATCH001337,PLANT01,Labeling Error,Minor,RC013,Closed,2024-09-09,2024-10-23
DEV000115,PROD00760,BATCH000894,PLANT01,Documentation Error,Minor,RC006,Closed,2024-11-25,2024-12-11
